YEAR,TEAM NO,TEAM,SEED,ROUND,Z RATING
2024,1079,Akron,14,64,9.49
2024,1078,Alabama,4,4,15.57
2024,1077,Arizona,2,16,15.79
2024,1076,Auburn,4,64,16.11
2024,1075,Baylor,3,32,14.14
2024,1074,Boise St.,10,68,12.06
2024,1073,BYU,6,64,15.18
2024,1072,Clemson,6,8,13.81
2024,1071,Colgate,14,64,9.01
2024,1070,College of Charleston,13,64,10.28
2024,1069,Colorado,10,32,14.13
2024,1068,Colorado St.,10,64,13.65
2024,1067,Connecticut,1,1,17.15
2024,1066,Creighton,3,16,16.41
2024,1065,Dayton,7,32,11.08
2024,1064,Drake,10,64,12.35
2024,1063,Duke,4,8,13.71
2024,1062,Duquesne,11,32,10.35
2024,1061,Florida,7,64,12.66
2024,1060,Florida Atlantic,8,64,12.09
2024,1059,Gonzaga,5,16,13.86
2024,1058,Grambling St.,16,64,6.55
2024,1057,Grand Canyon,12,32,11.08
2024,1056,Houston,1,16,15.58
2024,1055,Howard,16,68,7.97
2024,1054,Illinois,3,8,14.2
2024,1053,Iowa St.,2,16,15.37
2024,1052,James Madison,12,32,11.26
2024,1051,Kansas,4,32,14.46
2024,1050,Kentucky,3,64,14.1
2024,1049,Long Beach St.,15,64,8.2
2024,1048,Longwood,16,64,8.67
2024,1047,Marquette,2,16,14.51
2024,1046,McNeese St.,12,64,10.42
2024,1045,Michigan St.,9,32,13.4
2024,1044,Mississippi St.,8,64,12.63
2024,1043,Montana St.,16,68,7.79
2024,1042,Morehead St.,14,64,9.13
2024,1041,Nebraska,8,64,13.75
2024,1040,Nevada,10,64,12.64
2024,1039,New Mexico,11,64,12.67
2024,1038,North Carolina,1,16,14.48
2024,1037,North Carolina St.,11,4,12.07
2024,1036,Northwestern,9,32,12.11
2024,1035,Oakland,14,32,9.82
2024,1034,Oregon,11,32,11.8
2024,1033,Purdue,1,2,16.95
2024,1032,Saint Mary's,5,64,11.5
2024,1031,Saint Peter's,15,64,7.17
2024,1030,Samford,13,64,10.87
2024,1029,San Diego St.,5,16,13.2
2024,1028,South Carolina,6,64,11.06
2024,1027,South Dakota St.,15,64,8.7
2024,1026,Stetson,16,64,7.89
2024,1025,TCU,9,64,14
2024,1024,Tennessee,2,8,15.6
2024,1023,Texas,7,32,15
2024,1022,Texas A&M,9,32,12.52
2024,1021,Texas Tech,6,64,13.37
2024,1020,UAB,12,64,10.05
2024,1019,Utah St.,8,32,11.63
2024,1018,Vermont,13,64,8.7
2024,1017,Virginia,10,68,9.08
2024,1016,Wagner,16,64,5.9
2024,1015,Washington St.,7,32,11.08
2024,1014,Western Kentucky,15,64,8.59
2024,1013,Wisconsin,5,64,12.97
2024,1012,Yale,13,32,9.94
